"N","p1","p2"
"63","Henry Lorenz Viereck","Theodore Dru Alison Cockerell"
"53","Huan-li Xu","Osamu Tadauchi"
"45","Terry L. Griswold","Victor Hugo Gonzalez [Betancourt]"
"39","Antonio José Camillo Aguiar","Gabriel Augusto Rodrigues de Melo"
"38","Andrew R. Moldenke","Haroldo Toro [Guttierez]"
"34","Maurits Anne Lieftinck","Yoshihiro Hirashima"
"32","João Maria Franco de Camargo","Silvia Regina de Menezes Pedro"
"30","Jesus Santiago Moure","João Maria Franco de Camargo"
"30","Haroldo Toro [Guttierez]","Luisa Ruz"
"28","Alain Pauly","Robert W. Brooks"
"28","Fritz Josef [Friedrich] Gusenleitner","Maximilian Schwarz"
"27","Michael Scott Engel","Victor Hugo Gonzalez [Betancourt]"
"27","Keizô Yasumatsu","Yoshihiro Hirashima"
"25","Earle Gorton Linsley","John Winslow MacSwain"
"25","Chao-dong Zhu","Ze-qing Niu"
"24","Rajiv K. Gupta","Sundar Lal Sharma"
"23","Michael Batley","Terry F. Houston"
"22","Michael Scott Engel","Robert W. Brooks"
"21","Jan Smit","Maximilian Schwarz"
"20","Ismael Alejandro Hinojosa-Díaz","Michael Scott Engel"
"20","Fresia Rojas","Haroldo Toro [Guttierez]"
"20","Arnaldo de Winkelried Bertoni","Kurt [Curt] Schrottky"
"20","Amédée Louis Michel le Peletier, comte de Saint-Fargeau","Jeane Guillaume Audinet-Serville"
"19","Rajiv K. Gupta","Sabita Simlote"
"18","Osamu Tadauchi","Yoshihiro Hirashima"
"18","Heinrich Friedrich August Karl Ludwig Friese","Karl Wilhelm von Dalla Torre"
"17","Lucy Evelyn Cheesman","Robert Cyril Layton Perkins"
"17","Frank D. Parker","Terry L. Griswold"
"17","Myron Harmon Swenk","Theodore Dru Alison Cockerell"
"17","Kim E. Steiner","Vincent Booth Whitehead"
"16","Grace Adelbert Sandhouse","Theodore Dru Alison Cockerell"
"15","Clemens Schlindwein","Jesus Santiago Moure"
"15","Haroldo Toro [Guttierez]","Manfredo A. Fritz"
"15","Charles Duncan Michener","Jesus Santiago Moure"
"15","Jesus Santiago Moure","Paul David Hurd, Jr."
"15","Haroldo Toro [Guttierez]","Victor Cabezas"
"14","Earle Gorton Linsley","Paul David Hurd, Jr."
"14","John Harvey Lovell","Theodore Dru Alison Cockerell"
"14","Alain Pauly","Yuriy Andreyevich Pesenko"
"14","Charles Duncan Michener","Philip Hunter Timberlake"
"13","Erwin Scheuchl","Gideon Pisanty"
"13","Maxim Yurievich Proshchalykin","Michael Kuhlmann"
"12","Carlos Alberto Campos Seabra","Jesus Santiago Moure"
"12","Sabita Simlote","Sundar Lal Sharma"
"12","Andreas Werner Ebmer","Jian-guo Fan"
"12","Misaki Abe","Yoshihiro Hirashima"
"11","Allan Henry Smith-Pardo","Victor Hugo Gonzalez [Betancourt]"
"11","Danúncia Urban","Jesus Santiago Moure"
"11","Alain Pauly","Barry James Donovan"
"11","Gabriel Augusto Rodrigues de Melo","Rodrigo Barbosa Gonçalves"
"10","Huan-li Xu","Huan Chen"
"10","Theodore Dru Alison Cockerell","Wilmatte Porter [Cockerell]"
"10","Howell V. Daly","Karl N. Magnacca"
"10","Michael Kuhlmann","Ze-qing Niu"
"10","Chao-dong Zhu","Michael Kuhlmann"
"10","Osamu Tadauchi","Takeshi Matsumura"
"9","Arturo Roig-Alsina","Luis A. Compagnucci"
"9","John K. Bouseman","Wallace Edmund LaBerge"
"9","Charles Duncan Michener","Terry L. Griswold"
"9","Katja Hogendoorn","Remko Leijs"
"9","Alain Pauly","Michael Kuhlmann"
"9","Osamu Tadauchi","Ryuki Murao"
"8","Molly Greer Rightmyer","Terry L. Griswold"
"8","João Maria Franco de Camargo","Patrícia maria Correia de Albuquerque"
"8","Carlos Balboa","Ricardo Ayala Barajas"
"8","George E. [Ned] Bohart","Terry L. Griswold"
"8","Connal D. Eardley","Howell V. Daly"
"8","David W. Ribble","Wallace Edmund LaBerge"
"8","Gabriel Augusto Rodrigues de Melo","Leandro Mattos Santos"
"7","Ricardo Ayala Barajas","Terry L. Griswold"
"7","Erwin Scheuchl","Fritz Josef [Friedrich] Gusenleitner"
"7","Jessie E. Casad","Theodore Dru Alison Cockerell"
"7","Andreas Werner Ebmer","Shôichi F. Sakagami"
"7","Laurence Packer","Sheila Dumesh"
"7","Connal D. Eardley","Robert W. Brooks"
"7","Andreas Werner Ebmer","Yasuo Maeta"
"7","Giuseppe Fabrizio Turrisi","Vittorio Nobile"
"7","Radclyffe Burnand Roberts","Robert W. Brooks"
"7","Tatiana G. Romankova","Yulia V. Astafurova"
"7","Osamu Tadauchi","Shôichi F. Sakagami"
"6","Eduardo Andrade Botelho de Almeida","Fernando Amaral da Silveira"
"6","Michael Scott Engel","Terry L. Griswold"
"6","Charles Duncan Michener","Wallace Edmund LaBerge"
"6","Denis Michez","Sébastien Patiny"
"6","David Ward Roubik","João Maria Franco de Camargo"
"6","Connal D. Eardley","Terry L. Griswold"
"6","Connal D. Eardley","Maximilian Schwarz"
"6","Connal D. Eardley","Rosalind Patricia Urban"
"6","Douglas Yanega","Michael Scott Engel"
"6","Douglas Yanega","Robert W. Brooks"
"6","Gabriel Augusto Rodrigues de Melo","Paola Marchi"
"6","Katsushi Mitai","Osamu Tadauchi"
"6","Ryôsuke Ishikawa","Shôichi F. Sakagami"
"5","Robbin W. Thorp","Wallace Edmund LaBerge"
"5","Claus Rasmussen","Victor Hugo Gonzalez [Betancourt]"
"5","Danny Vélez","Felipe Vivallo [Felipe Rodrigo Vivallo Martínez]"
"5","Holger Heinrich Dathe","Maxim Yurievich Proshchalykin"
"5","Charles Duncan Michener","Michael Scott Engel"
"5","Michael Scott Engel","Ricardo Ayala Barajas"
"5","Joseph Bequaert","Otto E. Plath"
"5","Norma Ebolie LeVeque","Theodore Dru Alison Cockerell"
"5","Alice Barringer Mackie","Theodore Dru Alison Cockerell"
"5","Beatriz Woiski Teixeira Coelho","Rodrigo Barbosa Gonçalves"
"5","Achik Dorchin","Christophe J. Praz"
"5","Luisa Ruz","Victor Hugo Gonzalez [Betancourt]"
"5","Arturo Roig-Alsina","Rocío Ana González-Vaquero"
"5","André Nemésio","Michael Scott Engel"
"5","Hywel Roberts","Yoshihiro Hirashima"
"5","Carl Edmund Atwood","Gerd Knerer"
"5","Alain Pauly","Jérôme Munzinger"
"5","Yan-ru Wu","Yuriy Andreyevich Pesenko"
"5","Terry L. Griswold","Zach M. Portman"
"5","Arkady S. Lelej","Maxim Yurievich Proshchalykin"
"5","Jakub Straka","Michael Scott Engel"
"5","Robbin W. Thorp","Robert W. Brooks"
"4","Allan Henry Smith-Pardo","Michael Scott Engel"
"4","Alberto H. Abrahamovich","Mariano Lucia"
"4","Charles Duncan Michener","Robert W. Brooks"
"4","Jesus Santiago Moure","Shôichi F. Sakagami"
"4","Danúncia Urban","Vinalto Graf"
"4","John Stoskopf Ascher","Michael Scott Engel"
"4","Ruth Sumner","Theodore Dru Alison Cockerell"
"4","Jean-Pierre Omer Anne Édouard Perris","Léon [Jean Marie] Dufour"
"4","Alberto H. Abrahamovich","Silvana P. Durante"
"4","Chang-Whan Kim","Mi-Lyang Kim"
"4","Michael Batley","Remko Leijs"
"4","Katja Hogendoorn","Michael Batley"
"4","Charles Duncan Michener","Earle Gorton Linsley"
"4","Shonen Matsumura","Tohru Uchida"
"4","Jesus Santiago Moure","Wallace Edmund LaBerge"
"4","Andreas Werner Ebmer","Osamu Tadauchi"
"4","Daniele R. Parizotto","Danúncia Urban"
"4","Alain Pauly","Kenneth L. Walker"
"4","Jérôme Munzinger","Kenneth L. Walker"
"4","Barry James Donovan","Kenneth L. Walker"
"4","Barry James Donovan","Jérôme Munzinger"
"4","Gabriel Augusto Rodrigues de Melo","Kelli dos Santos Ramos"
"4","Shôichi F. Sakagami","Tamiji Inoue"
"4","Canan Hazir","Erwin Scheuchl"
"4","Klaus Standfuss","Maximilian Schwarz"
"4","I-Hsin Sung","Makoto Shiokawa"
"4","Daniel H. Tapia","Luisa Ruz"
"4","Michael Terzo","Pierre Rasmont"
"3","Michael Scott Engel","Rodrigo Barbosa Gonçalves"
"3","Claus Rasmussen","Michael Scott Engel"
"3","Favízia Freitas de Oliveira","Michael Scott Engel"
"3","Alain Pauly","Jelle Devalez"
"3","Philip Hunter Timberlake","Theodore Dru Alison Cockerell"
"3","Haroldo Toro [Guttierez]","Sharon Rodríguez"
"3","Maxim Yurievich Proshchalykin","Yulia V. Astafurova"
"3","Beatriz Woiski Teixeira Coelho","Sherlem Patricia de Seixas Felizardo"
"3","Beatriz Woiski Teixeira Coelho","Michael Scott Engel"
"3","Michael Scott Engel","Sherlem Patricia de Seixas Felizardo"
"3","Mariano Lucia","Silvana P. Durante"
"3","Jerome George Rozen, Jr.","Joan G. Ehrenfeld"
"3","Michael Scott Engel","Olivia Yáñez-Ordóñez"
"3","Ismael Alejandro Hinojosa-Díaz","Olivia Yáñez-Ordóñez"
"3","Jian-guo Fan","Yan-ru Wu"
"3","David Ward Roubik","Victor Hugo Gonzalez [Betancourt]"
"3","Jorge M. González","Marco A. Gaiani"
"3","Rajiv K. Gupta","V. K. Tewari"
"3","Daniele R. Parizotto","Gabriel Augusto Rodrigues de Melo"
"3","Charles Duncan Michener","Ellen Ordway"
"3","Charles Duncan Michener","I. H. Syed"
"3","Denis Michez","Michael Kuhlmann"
"3","Jesus Santiago Moure","Warwick Estevam Kerr"
"3","Andreas Werner Ebmer","Ryuki Murao"
"3","Yan-ru Wu","Ze-qing Niu"
"3","Favízia Freitas de Oliveira","Paola Marchi"
"3","Alain Pauly","Terry L. Griswold"
"3","Alain Pauly","Francisco La Roche"
"3","Alain Pauly","Jason Gibbs"
"3","Jason Gibbs","Michael Kuhlmann"
"3","Ataur Rahman","N. P. Chopra"
"3","Jesus Santiago Moure","José Manuel Macário Rebêlo"
"3","George E. [Ned] Bohart","Richard W. Rust"
"3","Alvin Fleetwood Shinn","Michael Scott Engel"
"3","Jerome George Rozen, Jr.","Roy R. Snelling"
"3","Gerald [Jerry] Irving Stage","Roy R. Snelling"
"3","Embrik Strand","Keizô Yasumatsu"
"3","Takeshi Matsumura","Yoshihiro Hirashima"
"3","Haroldo Toro [Guttierez]","M. Herrera"
"3","Felipe Vivallo [Felipe Rodrigo Vivallo Martínez]","Fernando Fernández"
"3","Danny Vélez","Fernando Fernández"
"3","Connal D. Eardley","Vincent Booth Whitehead"
"3","Erin Willis","Laurence Packer"
"3","Chao-dong Zhu","Rui Zhang"
"2","Maria Christina de Almeida","Sebastião Laroca"
"2","Yulia V. Astafurova","Yuriy Andreyevich Pesenko"
"2","Favízia Freitas de Oliveira","Thiago Mahlmann"
"2","Felipe Vivallo [Felipe Rodrigo Vivallo Martínez]","Fernando César Vieira Zanella"
"2","Abdulaziz S. Alqarni","Mohammed A. Hannan"
"2","Abdulaziz S. Alqarni","Michael Scott Engel"
"2","Michael Scott Engel","Mohammed A. Hannan"
"2","Ardeshir Ariana","Erwin Scheuchl"
"2","Ardeshir Ariana","Osamu Tadauchi"
"2","Ardeshir Ariana","Fritz Josef [Friedrich] Gusenleitner"
"2","Erwin Scheuchl","Osamu Tadauchi"
"2","Fritz Josef [Friedrich] Gusenleitner","Osamu Tadauchi"
"2","John Stoskopf Ascher","Terry L. Griswold"
"2","Carlos Hernan Vergara","Ricardo Ayala Barajas"
"2","Carlos Hernan Vergara","Terry L. Griswold"
"2","Alexsander A. Azevedo","Fernando Amaral da Silveira"
"2","Robert W. Brooks","Terry L. Griswold"
"2","Cindy Julieth Celis","José Ricardo Cure"
"2","Cindy Julieth Celis","Marlene Lucia Aguilar-Benavides"
"2","José Ricardo Cure","Marlene Lucia Aguilar-Benavides"
"2","Edward Sharpe Gaige Titus","Theodore Dru Alison Cockerell"
"2","Bryan Nicholas Danforth","William T. Wcislo"
"2","Barrett Anthony Klein","Michael Scott Engel"
"2","Ismael Alejandro Hinojosa-Díaz","Victor Hugo Gonzalez [Betancourt]"
"2","Daniel J. Bennett","Michael Scott Engel"
"2","Daniel J. Bennett","Ismael Alejandro Hinojosa-Díaz"
"2","Jason Gibbs","Laurence Packer"
"2","Ricardo Ayala Barajas","Victor Hugo Gonzalez [Betancourt]"
"2","Albert A. Grigarick","Lionel A. Stange"
"2","Terry L. Griswold","Wensdae Miller"
"2","Wan He","Yan-ru Wu"
"2","Deborah R. Smith","H. Randall Hepburn"
"2","H. Randall Hepburn","Sarah E. Radloff"
"2","Gard W. Otis","H. Randall Hepburn"
"2","Deborah R. Smith","Sarah E. Radloff"
"2","Deborah R. Smith","Gard W. Otis"
"2","Gard W. Otis","Sarah E. Radloff"
"2","André Nemésio","Ismael Alejandro Hinojosa-Díaz"
"2","Yoshihiro Hirashima","Yoshito Haneda"
"2","Yasuo Maeta","Yoshihiro Hirashima"
"2","Shôichi F. Sakagami","Yoshihiro Hirashima"
"2","Mariano Lucia","Victor Hugo Gonzalez [Betancourt]"
"2","Fernando César Vieira Zanella","Gabriel Augusto Rodrigues de Melo"
"2","Charles Duncan Michener","Ricardo Ayala Barajas"
"2","Katsushi Mitai","Yoshihiro Hirashima"
"2","Blandina Felipe Viana","Jesus Santiago Moure"
"2","Andreas Müller","Terry L. Griswold"
"2","Andreas Müller","Volker Mauss"
"2","André Nemésio","Rafael R. Ferrari"
"2","Chao-dong Zhu","Yan-ru Wu"
"2","Alain Pauly","Connal D. Eardley"
"2","Alain Pauly","Y. B. Soukontoua"
"2","Francisco La Roche","Yuriy Andreyevich Pesenko"
"2","Michael S. Arduser","Molly Greer Rightmyer"
"2","Michael S. Arduser","Terry L. Griswold"
"2","Arturo Roig-Alsina","María Fernanda Rodríguez"
"2","Luisa Ruz","Sharon Rodríguez"
"2","Shôichi F. Sakagami","Yasuo Maeta"
"2","Fernando Amaral da Silveira","Leandro Mattos Santos"
"2","Mohamed Shebl","Osamu Tadauchi"
"2","Makoto Shiokawa","Yoshihiro Hirashima"
"2","Makoto Shiokawa","Shôichi F. Sakagami"
"2","Bryan Nicholas Danforth","Roy R. Snelling"
"2","David A. Tanner","Terry L. Griswold"
"2","Elizabeth Chiappa","Haroldo Toro [Guttierez]"
"2","Haroldo Toro [Guttierez]","Laurence Packer"
"2","Arturo Roig-Alsina","Juan Pablo Torretta"
"2","Danúncia Urban","Gabriel Augusto Rodrigues de Melo"
"2","Allan Henry Smith-Pardo","Rita I. Velez-Ruiz"
"2","K. Sajan Jose","Shashidhar Viraktamath"
"2","Charles Duncan Michener","Natapot Warrit"
"2","B. Y. Kuang","G. H. Yang"
"2","Rui Zhang","Ze-qing Niu"
"1","Eduardo Andrade Botelho de Almeida","Nadia S. Gibran"
"1","Abdulaziz S. Alqarni","Victor Hugo Gonzalez [Betancourt]"
"1","Mohammed A. Hannan","Victor Hugo Gonzalez [Betancourt]"
"1","Claus Rasmussen","Leopoldo J. Alvarez"
"1","Alberto H. Abrahamovich","Leopoldo J. Alvarez"
"1","Alberto H. Abrahamovich","Claus Rasmussen"
"1","Evandson José dos Anjos-Silva","José Manuel Macário Rebêlo"
"1","Hans Bänziger","Korrawat Attasopa"
"1","Charles Duncan Michener","Suzanne Willington Tubby Batra"
"1","Benjamin Bembé","Thomas Eltz"
"1","Andreas Bertsch","Gerhard K. H. Przemeck"
"1","Andreas Bertsch","Martin Hrabé de Angelis"
"1","Gerhard K. H. Przemeck","Martin Hrabé de Angelis"
"1","Hans [Franz Paul] Hedicke","Hans Bischoff"
"1","Jir[diacritic]í Hadrava","Petr Bogusch"
"1","George E. [Ned] Bohart","Haroldo Toro [Guttierez]"
"1","George E. [Ned] Bohart","Jerome George Rozen, Jr."
"1","Haroldo Toro [Guttierez]","Jerome George Rozen, Jr."
"1","David Ward Roubik","Jesus Santiago Moure"
"1","Holger Heinrich Dathe","Huan Chen"
"1","Holger Heinrich Dathe","Huan-li Xu"
"1","Beulah Hix Blair","Theodore Dru Alison Cockerell"
"1","Charles H. Hicks","Theodore Dru Alison Cockerell"
"1","Louise M. Ireland","Theodore Dru Alison Cockerell"
"1","Sievert Allen Rohwer","Theodore Dru Alison Cockerell"
"1","Edward Sharpe Gaige Titus","James Chamberlain Crawford"
"1","Dieter Wittmann","José Ricardo Cure"
"1","Leif D. Deyrup","Mark Amidon Deyrup"
"1","Anne E. Dollin","Leslie J. Dollin"
"1","Anne E. Dollin","Claus Rasmussen"
"1","Claus Rasmussen","Leslie J. Dollin"
"1","Robert Louis Dressler","Rodulfo Ospina-Torres"
"1","Andreas Dubitzky","Michael Kuhlmann"
"1","Arturo Roig-Alsina","Silvana P. Durante"
"1","Donald Burton Baker","Michael Scott Engel"
"1","Holger Heinrich Dathe","Michael Scott Engel"
"1","Laurence Packer","Michael Scott Engel"
"1","Maximilian Schwarz","Michael Scott Engel"
"1","Michael Scott Engel","Yuvarin [Rak] Boontop"
"1","Charles Duncan Michener","Yuvarin [Rak] Boontop"
"1","Allan Henry Smith-Pardo","Favízia Freitas de Oliveira"
"1","Gabriel Augusto Rodrigues de Melo","Luiz R. R. Faria"
"1","Fernando Amaral da Silveira","Rafael R. Ferrari"
"1","Felipe V. Freitas","Fernando Amaral da Silveira"
"1","Franz von Wagner","Heinrich Friedrich August Karl Ludwig Friese"
"1","Julio A. Genaro","Laurence Packer"
"1","Jason Gibbs","Sheila Dumesh"
"1","Charles Duncan Michener","Victor Hugo Gonzalez [Betancourt]"
"1","Paula A. Sepúlveda","Victor Hugo Gonzalez [Betancourt]"
"1","Danny Vélez","Victor Hugo Gonzalez [Betancourt]"
"1","John Stoskopf Ascher","Victor Hugo Gonzalez [Betancourt]"
"1","Leandro Mattos Santos","Rodrigo Barbosa Gonçalves"
"1","Gaurav Sharma","Rajiv K. Gupta"
"1","P. Girish Kumar","Rajiv K. Gupta"
"1","Gaurav Sharma","P. Girish Kumar"
"1","H. Glenn Hall","John Stoskopf Ascher"
"1","Betânia Truylio","Birgit Harter-Marques"
"1","Birgit Harter-Marques","Rodrigo da Cunha"
"1","Birgit Harter-Marques","Jesus Santiago Moure"
"1","Jesus Santiago Moure","Rodrigo da Cunha"
"1","Charles Duncan Michener","Ismael Alejandro Hinojosa-Díaz"
"1","Gabriel Augusto Rodrigues de Melo","Ismael Alejandro Hinojosa-Díaz"
"1","Gabriel Augusto Rodrigues de Melo","Michael Scott Engel"
"1","Shuichi Ikudome","Yoshihiro Hirashima"
"1","Glynn V. Maynard","Terry F. Houston"
"1","Gerald Hölzler","Karl Mazzucco"
"1","Masao Ito","Shôichi F. Sakagami"
"1","Jessica Janjic","Laurence Packer"
"1","T. C. Narendran","T. Jobiraj"
"1","Elizabeth Morris Exley","Judith King"
"1","Anselm Kratochwil","Erwin Scheuchl"
"1","Francisco Javier Ortiz-Sánchez","Michael Kuhlmann"
"1","Concepción Ornosa","Michael Kuhlmann"
"1","Concepción Ornosa","Francisco Javier Ortiz-Sánchez"
"1","Alexander Lall","Avdhesh Kumar"
"1","Paul David Hurd, Jr.","Wallace Edmund LaBerge"
"1","Juan M. Labougle","Ricardo Ayala Barajas"
"1","Ana Rita Gonçalves","Gérard Le Goff"
"1","Alina Nilovna Kupianskaya","Arkady S. Lelej"
"1","Jessica Litman","Michael Kuhlmann"
"1","Marcio Luiz de Oliveira","Thiago Mahlmann"
"1","Gabriel Augusto Rodrigues de Melo","Marco Antônio Costa"
"1","Gabriel Augusto Rodrigues de Melo","Léo Correia da Rocha-Filho"
"1","Charles Duncan Michener","Somnuk Boongird"
"1","Charles Duncan Michener","Renee M. Borges"
"1","Charles Duncan Michener","Mark Amidon Deyrup"
"1","Charles Duncan Michener","Jerome George Rozen, Jr."
"1","Alain Pauly","Denis Michez"
"1","Katsushi Mitai","Shuichi Ikudome"
"1","Osamu Tadauchi","Shuichi Ikudome"
"1","Jesus Santiago Moure","Marina Siqueira de Castro"
"1","B. Lucas de Oliveira","Jesus Santiago Moure"
"1","Fernando Amaral da Silveira","Jesus Santiago Moure"
"1","Edinaldo Luz das Neves","Jesus Santiago Moure"
"1","Blandina Felipe Viana","Edinaldo Luz das Neves"
"1","Favízia Freitas de Oliveira","Jesus Santiago Moure"
"1","Blandina Felipe Viana","Favízia Freitas de Oliveira"
"1","Ryuki Murao","Takeo Yamauchi"
"1","Osamu Tadauchi","Takeo Yamauchi"
"1","Ahmad Nadimi","Ali Asghar Talebi"
"1","John L. [Jack] Neff","Leah LaPerle Larkin"
"1","André Nemésio","Benjamin Bembé"
"1","André Nemésio","José Eustáquio Santos Júnior"
"1","Pia Oremek","Ze-qing Niu"
"1","Chao-dong Zhu","Pia Oremek"
"1","Da-Wei Huang","Ze-qing Niu"
"1","Da-Wei Huang","Yan-ru Wu"
"1","Michael Scott Engel","Thiago Mahlmann"
"1","André Nemésio","Marcio Luiz de Oliveira"
"1","Michael Christopher Orr","Terry L. Griswold"
"1","Juan Carlos Sandino-Franco","Rodulfo Ospina-Torres"
"1","Laurence Packer","Luisa Ruz"
"1","Alejandro Parra-H","Rodulfo Ospina-Torres"
"1","Alejandro Parra-H","Santiago Ramírez"
"1","Rodulfo Ospina-Torres","Santiago Ramírez"
"1","David W. Baldock","Sébastien Patiny"
"1","David W. Baldock","Denis Michez"
"1","Francisco Javier Ortiz-Sánchez","Sébastien Patiny"
"1","Denis Michez","Francisco Javier Ortiz-Sánchez"
"1","Alain Pauly","Hans Bänziger"
"1","Alain Pauly","Edgard Cédric Fabre Anguilet"
"1","Alain Pauly","Zewdu Ararso Hora"
"1","Alain Pauly","Andreas Werner Ebmer"
"1","Alain Pauly","Swantje Grabener"
"1","Andreas Werner Ebmer","Swantje Grabener"
"1","Alain Pauly","Kim Timmermann"
"1","Kim Timmermann","Michael Kuhlmann"
"1","Guaraci Duran Cordeiro","Silvia Regina de Menezes Pedro"
"1","Nina Grigo'yevna Davydova","Yuriy Andreyevich Pesenko"
"1","Leah LaPerle Larkin","Thomas J. Pohl"
"1","Asya Anatol'evna Ponomareva","Vladimir Veniaminovich Popov"
"1","Keizô Yasumatsu","Vladimir Veniaminovich Popov"
"1","John L. [Jack] Neff","Zach M. Portman"
"1","Maxim Yurievich Proshchalykin","Maximilian Schwarz"
"1","Sergey P. Ivanov","Vladimir G. Radchenko"
"1","Kelli dos Santos Ramos","Luisa Ruz"
"1","Charlotte Skov","Claus Rasmussen"
"1","Cory Silas Sheffield","Sandra M. Rehan"
"1","Léon Marc Herminie Fairmaire","Louis Jérôme Reiche"
"1","Shôichi F. Sakagami","Stephen Gavilan Reyes"
"1","Michael Scott Engel","Molly Greer Rightmyer"
"1","Mark Amidon Deyrup","Molly Greer Rightmyer"
"1","John Stoskopf Ascher","Molly Greer Rightmyer"
"1","John Stoskopf Ascher","Mark Amidon Deyrup"
"1","Mark Amidon Deyrup","Terry L. Griswold"
"1","Laurence Packer","Léo Correia da Rocha-Filho"
"1","Arturo Roig-Alsina","Boris O. Schlumpberger"
"1","David Ward Roubik","Jorge Arturo Lobo Segura"
"1","João Maria Franco de Camargo","Jorge Arturo Lobo Segura"
"1","Elizabeth Chiappa","Luisa Ruz"
"1","Gabriel Augusto Rodrigues de Melo","Luisa Ruz"
"1","Meiyo Munakata","Shôichi F. Sakagami"
"1","Hideo Takahashi","Shôichi F. Sakagami"
"1","Kimio Yoshikawa","Shôichi F. Sakagami"
"1","Makoto Kato","Shôichi F. Sakagami"
"1","Shôichi F. Sakagami","Takao Itino"
"1","Makoto Kato","Takao Itino"
"1","Ryôichi Miyanaga","Shôichi F. Sakagami"
"1","Ryôichi Miyanaga","Yasuo Maeta"
"1","Fabrício R. Santos","José Eustáquio Santos Júnior"
"1","Fernando Amaral da Silveira","José Eustáquio Santos Júnior"
"1","Fabrício R. Santos","Fernando Amaral da Silveira"
"1","Erwin Scheuchl","Noudjoud Benarfa"
"1","Erwin Scheuchl","Kamel Louadi"
"1","Kamel Louadi","Noudjoud Benarfa"
"1","Konrad Schmidt","Paul Westrich"
"1","Maximilian Schwarz","Timofey Victorovich Levchenko"
"1","Karl Mazzucco","Maximilian Schwarz"
"1","Fritz Josef [Friedrich] Gusenleitner","Karl Mazzucco"
"1","M. L. Thakur","Vinita Sharma"
"1","Mohamed Shebl","Qiang Li"
"1","Cory Silas Sheffield","Julio A. Genaro"
"1","Fernando Amaral da Silveira","Roderic B. Martines"
"1","Roy R. Snelling","Thomas J. Zavortink"
"1","Andreas Werner Ebmer","Bo G. Svensson"
"1","Bo G. Svensson","Shôichi F. Sakagami"
"1","Masashi Goubara","Osamu Tadauchi"
"1","Maximilian Schwarz","Osamu Tadauchi"
"1","Osamu Tadauchi","Ryôichi Miyanaga"
"1","Ahmatjan Dawut","Osamu Tadauchi"
"1","Ahmatjan Dawut","Ryôichi Miyanaga"
"1","Shusaburo Tamasawa","Yoshihiro Hirashima"
"1","Hermanus Gerardus Maria Teunissen","Kees [Cornelius] van Achterberg"
"1","Michael P. Schwarz","Simon M. Tierney"
"1","Meeta Tomar","Suniti Tomar"
"1","Charles Duncan Michener","Haroldo Toro [Guttierez]"
"1","G. Trautmann","Woldemar Trautmann"
"1","Carlos Hernan Vergara","Charles Duncan Michener"
"1","Felipe Vivallo [Felipe Rodrigo Vivallo Martínez]","Gabriel Augusto Rodrigues de Melo"
"1","Charles Duncan Michener","Stefan Vogel"
"1","Chariya Lekprayoon","Natapot Warrit"
"1","Chariya Lekprayoon","Charles Duncan Michener"
"1","Paul Hugh Williams","Sydney G. Cannings"
"1","Paul Hugh Williams","Ya Tang"
"1","Jian Yao","Paul Hugh Williams"
"1","Paul Hugh Williams","Sydney Cameron"
"1","Jian Yao","Ya Tang"
"1","Sydney Cameron","Ya Tang"
"1","Jian Yao","Sydney Cameron"
"1","Ian Cross","Thomas J. Wood"
"1","Thomas J. Zavortink","Wallace Edmund LaBerge"
"1","Qiang Li","Rui Zhang"
"1","Qiang Li","Ze-qing Niu"
